recipient,amount
EUVBn58XXTX9RBTm1R7Wd8n8JkvBMQfc9uSn5wPhbdBL,61211905007621
8ZENvd3sBBijAWc36hMjwYBgp858rSdSCERhXzRacNqY,11856436573579
G72oBA9cRYUzR8Q9oLvJcNRx5ovcDGFvHsbZKp1BT75W,557877946826326
StepLJgojR54f8M4nfr5uxjBBMddWjEwnKs4TnrnmRd,534179784204610
6xgSsjqf57fkBKKrurufWuEq3T1faN3z7uduKRTb4CGk,197717120
87sZBKaGtRseDxuSkF7pUCERd3Hs98ESRJVipdscTCXc,43176169643281
Fw3khiQmpKLSdNyoVR52WxbTWT9gjFSXFsZewknwLGb5,65647356484704
FugJZepeGfh1Ruunhep19JC4F3Hr2FL3oKUMezoK8ajp,708801449160733
HxD2maDQ7xYPvkvqXLg9YHUU2mT7s55pZN4s2MpDNJyM,897717120
3KW9MzaoUrqXymwZKMph4kPaJ37JfCfw8LxsZnHnCBGS,148224637819128
66RAWQ8kUE95WpuJ7vkAS55TWfDo7ZonyTsLeGfs7dt3,36481387896647
26cnPXNAAFs1oGuFpsgnjbB4ym9YkcMMdd7Z48hr5yyY,59417972322155
KrAfaq2syKSNVBXXBySQ3gQjmvRdVaZxie3cY6rWPBB,7799119454648
DeVisA9oFV1ruRzFcdg97dUaMi5hjGHjtqQpySKeBWDj,59651950606918
8hYdwmJbZakxxNxoeMq8Xm4jqE7VSBTA9cuGRyqwuDhC,10453889423078
96XWbKem84optM8RLHhc8EYJQG8CCWA8F6oqWMPHDweN,53149448861388
3JotfSFPaod4KVK7nj7ULvcq5PjUBdZNVGracNkJNhrt,2678344530972120
A4hyMd3FyvUJSRafDUSwtLLaQcxRP4r1BRC9w2AJ1to2,5220177906653152
6kGzq2Xd91rExd1gAy1bcVJViXdapJ578G5aZckG7B7J,2997717120
2gDeeRa3mwPPtw1CMWPkEhRWo9v5izNBBfEXanr8uibX,292616445248208
9e8SzLBT4wgCLgQwifj8fSGd6CdefbmJSMboesrETmG,10060156100523
9wPR3SBeG3USxccsCXYC79xZtpNg1FoEnAwV6N6XvLf8,11312934635231
3K4LmZVupjKNfuDyrngfja5Q4vVPRiwEcPzTaECUzZjF,10752263195622
8hTi1gRAogrsk5uZustzkFb1SKgpzxLhfYWTJ5xBV4Ww,12251862950187
HuubtTf6Jte8PKYBSVMVDBi3ZT6Psah6qbqKF4ecYoWu,62637903316329
FxhKTay63tcYR8WuXwRvWJCmAV239fXizqRXNMMMqhjB,62746972052299
s1MAYtdZtvxmAjk4yXVYgMuzB3Jww4wcYZ6qiUq9Joi,47941077918021
2uxEHizFmmnLekKG2LZJwxNabhpymEYfdVCpgDxjt87m,62409088373909
2XmhZKHmfjku3T3nC9xKhgr5bm1CAmWXqNsNt49mo82C,54019805249670
3CKKAoVi94EnfX8QcVxEmk8CAvZTc6nAYzXp1WkSUofX,36262160718168
GaDoLNbHGYVBJKetk8eKJnnWq5y1y5Li1eRGP97FGsfS,59795677369055
9UsSQ9m5QemVf9NFmKncDDXGFGzUXMiFay9Fv7rUmjtV,54528745495571
A8vNkfP4Rv6msJyuXgwvUSUUu5vPfLxMJB5ddNkHaCGJ,60005115502339
9hQqNe3DQTiwhspatewA8EXhz12e6sq5UJVJ2qNRwnTf,134706485164901
9Mo3ap3jpuqQpLi75EsiXLWfTr1cbBhrJNumoq1wnVp6,72673579681639
Ninja1spj6n9t5hVYgF3PdnYz2PLnkt7rvaw3firmjs,4133338466540916
Cu9Ls6dsTL6cxFHZdStHwVSh1uy2ynXz8qPJMS5FRq86,264964112086759
FWwwP9tNttSy9dJFxwf6ebXWfc6VJXqFNMTccrMiLFTH,791829092302720
Bb4BP3EvsPyBuqSAABx7KmYAp3mRqAZUYN1vChWsbjDc,57829384756955
AS4i8EXUZnPbmNT5ZXmoTEbrXQrbFoReiWwwFB43Ds5z,45007796484966
2RwFJJkhr4tCTuQnZN1CFpAtn5s9pTzakagvu326W1FT,218288256130995
J87afqF2bDQQLTQpks4SdF7hXPr96SPTdJ28UJXXWr9N,58665589469061
FMZpRCtDwbGui79TsztM6M7f4WVcPaYgaZbZZwXnq6Ji,10122081720371
4EhF9QL4igv8YWGULJH3qZGDbai1ERQ7mBbyzWDF3YWn,43297234703936
AuHhgj1BcjHsE2DJDvGUDHpb5c9g4n36MB1Pfq2kc5Yp,35509749139475
2GwaeV7SiuJMyUxaRLMcSRHo6ZEf8oVXvDmCYDQJ4Goz,59157211634964
UPSCQNqdbiaqrQou9X9y8mr43ZHzvoNpKC26Mo7GubF,4956073098588514
FoigPJ6kL6Gth5Er6t9d1Nkh96Skadqw63Ciyjxc1f8H,72174530393001
Ez4heEN9SzxrjgYA7wBWK8FwxAuYXnmwALADGfpB32E6,106414828363
7DPrbAt1WwwZwFSqE3182UZCJ7f9yevUcpnRFtoNJP2T,33999784410913
J6NWrn7w6u3rPqHzo6j89aGQL2jVhBy9c7aqhDS36vfs,33778426786274
7iKjbCABbngiEWbNtckZMNWf32VVeF88NhfUrWUz7GHv,61284815943590
4wHiE1xxqbHmdPTwPqJVWnGESsMPpnGNQxMDC3DB3RtM,10974185448914
FT19eGcaaMeQQM6u32nhfAoZwf2G6NjcSwUi75JsRyTj,61902004149395
46fbxbAKbsPkRBosiZxesPnB4rNLZE4H22wmiK3LwRU7,37988747795464
HsGWhcLqVsue45i4vMxku3YEVGF5cYxUSTaa6gwieSGN,86550631063294
HjBfxLRVwcxebL2f3Tu9x6qMN4jjaaVbLbfizVZaKixV,34393178775674
DtTANarT1CjdoLvF4SyRCHtCE4hAtNJcuCy77vq2y9d4,59401267785571
3hsuKJMFf8WrLfihsJPeLX3FdJF2nQu3iJr45pQux8Jy,9793709504740
98CqwDiHJrMHFPUMvWZr7Y5Y9wzVZodJK7Gi1ML6H1yZ,97717120
VymDdiepH77edNcNcKBKtRUb3gbQPtPyGh5NLcWaynj,3563153055971427
HnvAnkcnGb9by7sKK8nqfYk1AkgxBzhnC1DQHn9rHDNS,51743757102237
5gYoQH651psGZQMVoW6Suvwsz1GNhbQgN4NXYKqd6d4Q,60488912798067
EYu3TbNj6YoJZjPmQxjDdovAvL8boLTmcghLs5SCEFHT,60031279666506
HW7ntfUHapD5o7McDuPfGvkfzrPcmuPSbZMMoe2gksKQ,55249462533215
6ii4ZAStxQtixJ18eryQxdBLKYyesPJZjGFqSLuHRBbL,34368837365901
6qwYjs5vCSEKaTMBbHinnW8fvdGj1r8cpzPoAV1EHKsw,88817840231625
5axVea5zhqy2MWCooibzJjkYMHz3cvhPdgP7pVG7Sxee,75963640702122
FYyoiTLr8CXo79rE54QM5CBHq1XkjmT3XQFnphzvh7e9,97717120
H47hFQDB8gvDBTwhNAKMALsDQtP87ZBYMC7VwSrc1XDo,39033404207068
HPCSEfKwYbekXPCjJyiNtFAzEmRPVr4Z6kGtaTegRsi8,421687952785600
8Xtk4LxTyqJQ3kMnpJBcrtpMy5gFHP9tsGUZHtUK1wpt,58342022848648
H9tyjuRBWRLZpcdLshgTTzcbw2Jbn6jntiiJ9bCpm4cQ,11192348712296
DsoRU2BCVMmZcT1ba1VpqYea3scu1GUuLAsaxT9ZUQYw,47945559729529
2tKR4mX7LzhjfdNsR6HfBaDDh2RM3wdpUrJqUU42aJTc,58984716554053
2kX1VME9AYwFsKPc7NU1xAZu9HKxWUHRMbhcyXLJiV1a,58921357769137
9Xm2WtKW1tEpY5wxKZD9XbAmojHGGtjiGeM3LotYT1Z9,58992920424053
DhKrFYrbiNJSJbVN242Bmi8izphkX6M68mf5R7A2vHgp,110753663482
MNDEE2sgqVKYUTKTpGTqJhdQfXz6CHW9JPWNhcBkSj6,278902378889193
D4B64Fa4U3Aw3VzDb6ktqxnAqnAdeiXxKY214JRRyWBK,35433614885408
GUvKxvTWHXcy6o1e3WQnzE4vExVYgKiZJ8oBMqrqd27B,65675087626180
GXdrhTwKXsoeMdUrrUpW5CaB9hgy5Eb9zZAzwHZCGywL,59502332047433
H13uDKDbPxv7zsh6zk6APQniBUi4tYW2HWkmMmWNJCWx,10392904347517
HoXANZnWTGeePertqWkMEnnhgXjTjzpfWaT2kja2ZgVU,105968352730803
GUFNuRw9JEAQwrJR71mRa2LbMRyrUfziYUzqY3KQwAXv,59430582141268
3TPg9z2UQgmNYLT3TvDdzK7kAt4q4jP8WRNXb29yKTEM,69075819944982
7MuF8X6oRnNDw2q2D66MYDfJ4mEPk4ifiAv9s21duwax,39714263995703
9NbubKiVBGWou2syzik9kBSjCtVY1KYm1HTcUZwfKuag,55323882245923
CTwsruptUccEtZGNxBDbuusHYxkBX3P6ndrxVjSG213y,43821846281032
7qf8xDhtzb4ctRUyJB6eaUXPn69wnx8A8pQVxYejaTLV,9120004575731
FhehzJxSgD7bstrLehmSaysjpsFrpa6C4Af6YL3ogdER,97717120
E7YH8NukhatQkzQyRQ4o3BPKtxGb5SXSw3ZgGwxqu3Lb,97717120
LitxAVo3RnYXD2sX1TyRJxfnKy48amXgyGiysPZjZwE,84321060459009
8vvCiFNbZJCVuaCZxCAbAG58Kmzk7NUnDCh62xWerZLb,34809965188823
BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,5002614801567328
HpcB5Qg8Y9E73dUkot5e8HkgAJbExsYeUzniY4bCuKac,2500000936382560
8aySXUFrqJz5kath6aVijrkBH8ZtxMWJGhYXwYBpKmHK,347144448745361
D2RV1q6FgePVVjrMa7AMzVbvvAeg5oS7TAV7qdNKSDsX,57406796186965
3Ws2kxmhUKMV32fSV1FZH6PurvoEFNx2xXZbzcdirtbe,39368145882478
GBvEdjgb9C2adsF4BivajUwTn1KZde4HsQCc4AsCbhfa,11950973873340
451X5rboJpJtXK2gj4dLsXv8yCGfujqus2HsYjMkkSpE,57905357646583
ByWyVuvWs3xi2NLeZRCa1z4ySBPs9PLKM6z9GPfDhdkW,998717120
AWfsAgeXiX6qi2ZS6ctYQ8pRc3q7bh4HaYmisoqLB45F,40236162474078
FvwnX3EFQ86Bvp9ZKn4Xmwei5eFQwndh4ceYkrBqN5Vx,10263508153777
HL4KSw2FhtnAzWuRUCrbqxnYJ2y6GwZgy5XYwzM7Zd9G,12438306210289
8L29aZPDc16ZSKBfXm9QSS7jN2Ypswedxnu6aEbxghBt,717120
UUcsYKGXbrecWLTNn4LK1N21Px1Ra5c3VsFJzAtzZPk,56463192716171
5EhGYUyQNrxgUbuYF4vbL2SZDT6RMfhq3yjeyevvULeC,3598007051660020
8AkVj5aAtJ27tYXeq89cnSf68V43NarFHMx2iSDjZv7c,183604223754206
DBKSEwzFx3i64censdCm7v95Ujp2sFfMtksBACkET2Kh,56913180420433
GoeW4aFK4dGoekJySgUynWDxBZiQJqm8GDAF4H53tDK9,2614129317108791
48Dactjx3zuJujtBHZ5cd2w3maKFFGsKhn1sXzU59VGK,10739157987904
Ayk5TSNbnjQn95BGnz4ugkcm1kAtEwGcK1jRYmqrYvKN,58585408567315
34C9C4zhnjbExNcYzdYZyPccMAMdsfqKLDS5jkqcbUow,36981952724683
3LKjD9Cb8RKKbmwM3LphHEvfZdjEU4rAFGDDUiVnuXhJ,46313141973603
94nRfNEua2iKpbjxzozNczrGK94Z7zfq2AcG3T73HPEd,60472536676219
4ZRq7rNhvo1UJEVhz8Sez5nugQVpJRPd5Bqeq9t9RvtV,58296381038370
iaMEtJ38Joo3QktouBknmCEu3YHNMqGGoAHzuRhV4oV,42531540768702
HYLo1uWMLxR51jJuP2YxBT2DwAxA43pt2PdRJWryZQFe,35473209250991
9DTAYSoy34beuHGMC2wJVustaxgXH691cHMY1nuNzbNU,33834526654477
N2mA2dBnS4bcbj9akUTYmCLk9uJjHW5g8nWW8qNf1cu,8853808095631
4fBRoJozYQ8sL8QTf2rar8iTNag8WsCVN2Kg5rxWuruA,1405507024032
3Kzdcmu6yWE4AEhFdxAoWncLijpwzNB95JThHRXzvf5k,149626559073849
3Hzz2uim2dSBbSBeJe7NgFzrf4arHwBeWJm5wRyw78zU,10281958747532
8AEuKfv6ovrTwo5wcitjkR12Hf7XpKD4RDgUyVCLtfDr,12105201114873
Dk8Q8aPWZfLda7bJ6RaUgcczxkm5Fax5XHv49eRi3GSZ,10009111564656
9osBexxQzfxvMCLknqB9pYDoLPoM1wqHy2FhCBw68qPQ,49056066696521
AgDsjMXmFEj9WjrF7hjqCmtDvhJMfZ43eBLsHCfBHSSs,97717120
5Us18hLZPXJTS4QVuGSsUw137Dyd2tgBaem24Xsf5nBS,1207979323901175
scb2ttMZrJv9BMaU3JJ6TdRapm2VbMG8pMasup5HirK,50882827854878
3n7mZaehg8vskkSQY7VuF7yxpG1tYiqeVVHAwgagWjAo,168430399375553
Fx8ATrRvjMnmUCjjDaUFcyjhbLVPzZJicj32bDcraqBz,60133186942650
77xRWv8Z3kaQpD9K3Den7YWJ7sxsf1KTnw5MdcM7Gtnw,60417433397677
8Go6mzV5m1SdLcxHTxCyLpQrAr7CgyDdWt4FRH6SCLHi,9802387274145
DziZfhYj5RcXFvanmsfmtRqwRteSNDnTgLNEawdZww9J,59058915602367
D1KH1UwfTLaBW3NubpvNv4ze9S7SKW6jd5TLdrwZgLP1,105596676541896
wpd8e4dzFVnCQY3jPuB9J7pKYQd6Mstz5tjWzF97Kxb,62416154347870
ExnG6VdMubFJfrB7qereo3YxUMyeZvTuZUVKfv7R1YZD,140847493121553
5d385bnt7MQUfDmGaps74MJt7WddpsgKCo6aQZMtnGNP,60340246689189
7Z9sPN7CBLvWdD3ww8eJ6c9ECEGTR9wKek9GR5LGQWjT,8588509507015
HRinCVUvsTVnk5GPA84SpPJgAjqJ9rhp9S4aAnBF9DvJ,5146534242813
BqrghcEtguLQpy8Pzf6FUuDyPxD4sbs7CzggfJ3PiGAp,71647049464897
Ff5CpTFzrGag9RzJBkGjeZGczzzGTNwhHSkyzQAbXJGC,34394137852308
GxVQ68HaR67w6DSTh5YoZAYgPzhubMb575rctXWdPsta,1227322810166
HdqvcQg6P3oKaKeq9smxppAS1Wsb5cewFggNGPd47KnC,11177722862510
6r9y5ekgj31rKSxLoJcqbT9iQS9JLwiYyqXR1iEWkN9q,36199528974439
HVXXmNKkmDZbZwj74iL2Y9Wu4SyrchBoxAfFYVAktLrG,123850874934542
3npDv3eM9v39RwCfoZgyh1zbuS4VtazM2YafBHAgP2Tp,10180210208916
AKqgh6Bj9P2Gyj9xty8cX92Cu9HDFjT5PeYx8wymSs79,35013654988116
FyQYFGPXcjGsKW4eeEwHKPcg7oo3XNn2JKRhtSTuNC9J,11342791027404
Eg2tGoGBkpkk5sSMEzfLQd5V9fvbwpLsBDPGvSVhUwx5,44168137292064
2EutAcbv7T8it6PfPQ7HbK2KFMnMC6anwkX6C3RifE5M,6123959238307
DTh4Vm6erLe7Tn3nEaZZwaNgNBULBg9EsfXxgibYX4ge,34355341393007
31vn2U3Ue4fDHqB24PU4qNhynGnjNDtUhu5y9bHygbSw,39075345822805
CQicKXFGuG3JGUHWYyuGQYuGJ4PtKSCDs91kbW7G6dCm,66932429000677
G35uLP74uj4eCSfMs17ePKtK1ThuH8JKebAP1T2y6CYw,47600189189664
ECd2JogmL8Qr4hox1zUNEn8aHFchE1tAh3JXM4UQBzzo,74921848794305
8TmL4ympgFZJb5xeeEDcT82UAkZRBmZY72qzTMXJR29D,58899804365746
BMYqG9dmjB3VTrMiTjTgmD9hKTf2syx51eGS6eccxDrM,12125949187754
EUfzMjQbm6guRK56vL2kP3zPEjPnAcKkcA3T6eHzRk1c,7766366336850
Cm4airKBAyYE6PuqqNYeCwVLNbEFEVADCY26dz3QVXQ,9764845399246
2nHwBDwqtQNTbCUwhttsBUHnQw5QJwuDNGvynNtHaEx4,38379549332732
4PRFPF7f9ERz9azkDFSFfgpye6yixPENCka994j8mQbj,59615792658899
EdGevanA2MZsDpxDXK6b36FH7RCcTuDZZRcc6MEyE9hy,432037958617801
5fxyp8GDtGWcesu6R42pjFdBhXrwNJ3xyZXnKWTfNLAe,62169049650795
C1ocKDYMCm2ooWptMMnpd5VEB2Nx4UMJgRuYofysyzcA,1105639851150452
CpuDNi3iVoHXbaT8gHpzKe6rqeBasoYjEKi21q7NRVJS,60357523497190
HdQAXPohgYHD8H2GYKfrQj2ZYSsh5VFmoKxLJzySFeCD,12971603478295
bPCHC5fPHSTc69cboD6naiPB1BoUGPFF8W9b9Qr2467,197717120
